source_frame,clip_frame,clip_time_s,player_pose_accepted,rig_available,rig_interpolated,left_knee_2d_deg,left_knee_rig3d_deg,ankle_direction_elevation_model_deg,delta_t_replay_s,ankle_delta_x_model_m,ankle_delta_y_model_m,ankle_delta_z_model_m,ball_sam_centroid_x_px,ball_sam_centroid_y_px
2667,245,8.174833,1,1,0,177.937186,145.392303,-1.406643,0.1001,-0.129175,-0.003193,-0.015048,505.368455,450.837397
2668,246,8.2082,1,1,0,178.534819,146.234797,-31.861989,0.1001,-0.122639,-0.079203,-0.034628,433.90295,428.957247
2669,247,8.241567,1,1,0,178.34269,144.132831,-45.905069,0.1001,-0.120194,-0.148859,-0.079721,371.131651,412.875499
2670,248,8.274933,1,1,0,176.968683,154.750673,-54.363504,0.1001,-0.093425,-0.199884,-0.108652,317.475692,396.757538
2671,249,8.3083,1,1,0,172.732176,156.095825,-51.227832,0.1001,-0.065844,-0.136624,-0.087791,,
2672,250,8.341667,1,1,0,176.221392,156.306134,-51.022294,0.1001,-0.032241,-0.070079,-0.046646,,
2673,251,8.375033,1,1,0,175.336665,156.12852,28.428588,0.1001,-0.006489,0.006384,0.009847,,
2674,252,8.4084,0,1,1,,155.578072,-64.205581,0.1001,-0.00763,-0.015867,-0.000765,,
2675,253,8.441767,1,1,0,174.695874,155.02477,-63.938895,0.1001,-0.008188,-0.022358,-0.007247,,
2676,254,8.475133,1,1,0,172.955543,155.03295,-46.792785,0.1001,-0.019178,-0.051621,-0.044534,,
2677,255,8.5085,1,1,0,173.336846,153.716717,-38.837925,0.1001,-0.018572,-0.035823,-0.040433,,
2678,256,8.541867,0,1,1,,154.138795,-31.857147,0.1001,-0.013721,-0.059579,-0.094891,,
2679,257,8.575233,0,1,1,,154.540191,-27.783611,0.1001,-0.015944,-0.060646,-0.113995,49.702527,345.146931
2680,258,8.6086,1,1,0,176.96175,154.918567,-30.328935,0.1001,-0.01696,-0.073554,-0.124577,,
2681,259,8.641967,1,1,0,177.011268,147.072497,-32.718207,0.1001,-0.014694,-0.045975,-0.070039,,
2682,260,8.675333,1,1,0,177.281961,145.002889,-30.378649,0.1001,-0.014695,-0.043455,-0.072659,,
2683,261,8.7087,1,1,0,177.530175,146.959222,-15.955989,0.1001,-0.011216,-0.020634,-0.071293,,
2684,262,8.742067,1,1,0,177.797953,145.540043,-3.453995,0.1001,-0.01416,-0.006098,-0.100033,,
2685,263,8.775433,1,1,0,179.183844,145.504815,5.467993,0.1001,-0.01491,0.005648,-0.057087,,
2686,264,8.8088,1,1,0,179.842482,147.045664,11.658342,0.1001,-0.013713,0.012007,-0.056552,,
2687,265,8.842167,1,1,0,178.987022,142.909059,8.787454,0.1001,-0.018737,0.011864,-0.074427,,
2688,266,8.875533,1,1,0,179.730924,144.277124,7.631832,0.1001,-0.01248,0.011562,-0.085377,,
2689,267,8.9089,1,1,0,179.13871,143.383283,3.694095,0.1001,-0.020952,0.006229,-0.094178,,
2690,268,8.942267,1,1,0,179.256658,141.893239,-3.335866,0.1001,-0.025405,-0.001975,-0.022417,,
2691,269,8.975633,1,1,0,178.326978,138.199039,-4.659459,0.1001,-0.026918,-0.002247,-0.005931,,
2692,270,9.009,1,1,0,179.421446,140.064247,0.811445,0.1001,-0.023553,0.000574,0.03298,,
2693,271,9.042367,1,1,0,178.889238,143.608539,7.895512,0.1001,-0.019846,0.005616,0.035297,,
2694,272,9.075733,1,1,0,179.238982,139.069022,9.80843,0.1001,-0.023114,0.005846,0.024679,,
2695,273,9.1091,1,1,0,178.615726,136.905558,10.763635,0.1001,-0.026976,0.006575,-0.021644,,
